GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simplejavacalculator,org.example,BufferedImageCustom,15,0,0,0,5,0,2,0,2,0
simplejavacalculator,org.example,Calculator,263,0,44,0,56,0,28,0,6,0
simplejavacalculator,org.example,SimpleJavaCalculator,16,0,0,0,7,0,2,0,2,0
simplejavacalculator,org.example,UI,1126,0,52,0,198,0,32,0,6,0
simplejavacalculator,org.example,Calculator.MonoOperatorModes,63,0,0,0,2,0,1,0,1,0
simplejavacalculator,org.example,Calculator.BiOperatorModes,39,0,0,0,2,0,1,0,1,0
